"Freq [GHz]","IWavePhi [deg]","IWaveTheta [deg]","dB(MonostaticRCSTotal) []"
8.4,0,-90,14.5821813940951
8.4,0,-75,2.11986715322928
8.4,0,-60,-0.17011641821833
8.4,0,-45,-1.1572769791714
8.4,0,-30,-5.01780184695482
8.4,0,-15,4.22732080472636
8.4,0,0,40.653087377623
8.4,0,15,8.96781862900965
8.4,0,30,0.677376962374191
8.4,0,45,1.51525889120339
8.4,0,60,-10.7994170279204
8.4,0,75,-12.4714788127333
8.4,0,90,21.9031665147767
8.4,15,-90,3.62945605759606
8.4,15,-75,5.32016659769395
8.4,15,-60,-2.38167740266163
8.4,15,-45,1.30381188632054
8.4,15,-30,-4.38838247597434
8.4,15,-15,7.30909157212912
8.4,15,0,40.4805803575348
8.4,15,15,12.0389636574331
8.4,15,30,4.43891051266575
8.4,15,45,-0.879504248963787
8.4,15,60,-17.5210291297316
8.4,15,75,-5.49163430219923
8.4,15,90,0.963013727191327
8.4,30,-90,3.97510052877625
8.4,30,-75,-3.24102278464635
8.4,30,-60,-0.672934306998367
8.4,30,-45,5.26032511605124
8.4,30,-30,4.93922194315202
8.4,30,-15,3.36291524122121
8.4,30,0,40.3505445005015
8.4,30,15,21.2495888908044
8.4,30,30,9.13080564833473
8.4,30,45,8.0049570129332
8.4,30,60,-4.2708910241611
8.4,30,75,-0.787237310901902
8.4,30,90,3.11305007016022
8.4,45,-90,4.43977335576169
8.4,45,-75,-4.81672118100419
8.4,45,-60,-3.22704629589709
8.4,45,-45,7.11419972701988
8.4,45,-30,5.2039986550817
8.4,45,-15,13.4188794719554
8.4,45,0,40.3029782035917
8.4,45,15,12.6296009071245
8.4,45,30,11.618352565005
8.4,45,45,4.38599861386145
8.4,45,60,-3.40966180259579
8.4,45,75,4.79617374840026
8.4,45,90,11.2811730318596
8.4,60,-90,-2.35256461293321
8.4,60,-75,-0.742790817027323
8.4,60,-60,1.19028442638277
8.4,60,-45,9.27371628263736
8.4,60,-30,13.3905904560006
8.4,60,-15,12.6276750831132
8.4,60,0,40.3533013473426
8.4,60,15,-3.05803459094087
8.4,60,30,3.61537751278705
8.4,60,45,9.96108379567682
8.4,60,60,-6.73887250513037
8.4,60,75,0.208480819413556
8.4,60,90,8.17598023674688
8.4,75,-90,5.3449950527924
8.4,75,-75,11.9088992472751
8.4,75,-60,15.1422080200492
8.4,75,-45,11.4549220499701
8.4,75,-30,15.1090432175125
8.4,75,-15,13.3076259923274
8.4,75,0,40.4852135067671
8.4,75,15,26.8320578202971
8.4,75,30,8.92291769202819
8.4,75,45,11.8854827228443
8.4,75,60,5.62816510169609
8.4,75,75,9.84108319032467
8.4,75,90,5.26388447432679
8.4,90,-90,51.43272846631
8.4,90,-75,16.2247506126971
8.4,90,-60,28.2205886347051
8.4,90,-45,32.8451621220619
8.4,90,-30,33.2947643385592
8.4,90,-15,31.919448575443
8.4,90,0,40.6582286333397
8.4,90,15,31.6346085167515
8.4,90,30,33.2579540314949
8.4,90,45,32.8164664585554
8.4,90,60,28.3830343923316
8.4,90,75,14.9383942471649
8.4,90,90,51.4529982545491
8.4,105,-90,6.03865895290688
